"BU Captains: 1 Arnold, 7 Lovett, 55 Newman, 93 Lynch
                                                        
                                                                UT Captains: 6 Duvernay, 9 Johnson, 19 Jones, 56 Shackelford
                                                            
                                                                Texas wins toss, defers; Baylor receives, defends north end zone."
2nd and 8 at UT46,"Brewer,Charlie pass complete to Mims,Denzel for 26 yards to the UT20, fumble forced by DeMar Overshown, fumble by Mims,Denzel recovered by BU TEAM at UT21, 1ST DOWN BU, out-of-bounds."
1st and 10 at UT21,"Brewer,Charlie rush for 13 yards to the UT8, 1ST DOWN BU (Chris Brown)."
1st and GOAL at UT08,PENALTY UT offside defense (Ta'Quon Graham) 4 yards to the UT4.
1st and GOAL at UT04,"Fleeks,Josh rush for 3 yards to the UT1 (Jalen Green;Brandon Jones)."
2nd and GOAL at UT01,"Brewer,Charlie rush for no gain to the UT1 (Moro Ojomo)."
3rd and GOAL at UT01,"Brewer,Charlie rush for 1 yard to the UT0, TOUCHDOWN, clock 07:36."
1st and GOAL at UT03,"Mayers,John kick attempt good."
1st and GOAL at BU35,"Rauschenberg,N. kickoff 65 yards to the UT0, touchback."
Total,"9 plays , 87 yards Time of Possession: 4:33"
Texas at 07:36
1st and 10 at UT25,TEXAS drive start at 07:36.
1st and 10 at UT25,"Sam Ehlinger pass complete to Devin Duvernay for 29 yards to the BU46, 1ST DOWN UT, out-of-bounds (Woods,J.T.)."
1st and 10 at BU46,"Roschon Johnson rush for 3 yards to the BU43 (Lynch,Blake)."
2nd and 7 at BU43,"Sam Ehlinger pass complete to Roschon Johnson for 4 yards to the BU39 (Williams,Jordan)."
3rd and 3 at BU39,"Sam Ehlinger pass incomplete to Brennan Eagles (Houston,Jameson)."
4th and 3 at BU39,Sam Ehlinger pass incomplete to Brennan Eagles.
Total,"5 plays , 36 yards Time of Possession: 1:57"
Baylor at 05:39
1st and 10 at BU39,BAYLOR drive start at 05:39.
1st and 10 at BU39,BU ball on BU40.
1st and 10 at BU40,"Lovett,John rush for no gain to the BU40 (Chris Brown)."
2nd and 10 at BU40,"Brewer,Charlie rush for 11 yards to the UT49, 1ST DOWN BU, out-of-bounds."
1st and 10 at UT49,"Lovett,John rush for 1 yard to the UT48 (Malcolm Roach)."
2nd and 9 at UT48,"Brewer,Charlie pass complete to Lovett,John for 3 yards to the UT45 (Chris Brown).
                                                    
                                                                Injury timeout: #55 Newman (BU)."
3rd and 6 at UT45,"Brewer,Charlie rush for 1 yard to the UT44, out-of-bounds (Ayodele Adeoye)."
4th and 5 at UT44,"Brewer,Charlie pass complete to Mims,Denzel for 16 yards to the UT28, 1ST DOWN BU (Jalen Green), PENALTY UT offside defense declined.
                                                    
                                                                Previous play is confirmed by replay."
1st and 10 at UT28,"Brewer,Charlie rush for 1 yard to the UT27 (Joseph Ossai)."
2nd and 9 at UT27,"Brewer,Charlie pass incomplete to Mims,Denzel."
