"BU Captains: 3 Miller, 6 Hasty, 38 Williams, 52 Tecklenburg
                                                        
                                                                OU Captains: 1 Hurts, 9 Murray, 56 Humphrey, 90 Gallimore
                                                            
                                                                Oklahoma wins toss, defers; Baylor receives, defends north end zone."
1st and 10 at OU23,"Hurts, Jalen pass complete to Rambo, C. for 10 yards to the OU33, 1ST DOWN OU (Texada,Raleigh)."
1st and 10 at OU33,"Brooks, Kennedy rush for 2 yards to the OU35 (Roy,Bravvion)."
2nd and 8 at OU35,"Hurts, Jalen pass incomplete to Brooks, Kennedy, QB hurry by Lynch,James."
3rd and 8 at OU35,"Hurts, Jalen pass complete to Brooks, Kennedy for 11 yards to the OU46, 1ST DOWN OU (Miller,Chris)."
1st and 10 at OU46,"Hurts, Jalen pass complete to Brooks, Kennedy for 5 yards to the BU49 (Black,Henry)."
2nd and 5 at BU49,"PENALTY OU false start (Robinson, T.) 5 yards to the OU46."
2nd and 10 at OU46,"Hurts, Jalen rush for 9 yards to the BU45 (Miller,Chris)."
3rd and 1 at BU45,"Brooks, Kennedy rush for 10 yards to the BU35, 1ST DOWN OU (Miller,Chris)."
1st and 10 at BU35,"Hurts, Jalen pass complete to Haselwood, J. for 16 yards to the BU19, 1ST DOWN OU (Arnold,Grayland)."
1st and 10 at BU19,"Hurts, Jalen pass complete to Miller, A.D. for 8 yards to the BU11, out-of-bounds (Black,Henry)."
2nd and 2 at BU11,"Brooks, Kennedy rush for 3 yards to the BU8, 1ST DOWN OU (Miller,Chris)."
1st and GOAL at BU08,"Brooks, Kennedy rush for no gain to the BU8 (Roy,Bravvion)."
2nd and GOAL at BU08,"Hurts, Jalen pass complete to Stevenson, R. for 6 yards to the BU2, out-of-bounds (Texada,Raleigh)."
3rd and GOAL at BU02,"Hurts, Jalen pass complete to Willis, Brayden for 2 yards to the BU0, TOUCHDOWN, clock 05:25."
1st and GOAL at BU03,"Brkic, Gabe kick attempt good."
1st and GOAL at OU35,"Brkic, Gabe kickoff 60 yards to the BU5, Hasty,JaMycal return 17 yards to the BU22, out-of-bounds (Bonitto, Nik)."
Total,"13 plays , 77 yards Time of Possession: 6:01"
Baylor at 05:25
1st and 10 at BU22,BAYLOR drive start at 05:25.
1st and 10 at BU22,"Brewer,Charlie pass incomplete to Mims,Denzel, PENALTY OU pass interference (Motley, Parnell) 15 yards to the BU37, 1ST DOWN BU, NO PLAY."
1st and 10 at BU37,1st and 10.
1st and 10 at BU37,"Ebner,Trestan rush for loss of 1 yard to the BU36 (Murray, Kenneth)."
2nd and 11 at BU36,"Brewer,Charlie pass incomplete to Sneed,R.J., QB hurry by Perkins, Ronnie."
3rd and 11 at BU36,"Brewer,Charlie pass incomplete to Mims,Denzel."
4th and 11 at BU36,"Power,Issac punt 37 yards to the OU27, fair catch by Stoops, Drake, PENALTY OU roughing the kicker declined."
Total,"3 plays , 14 yards Time of Possession: 1:10"
Oklahoma at 04:15
1st and 10 at OU27,OKLAHOMA drive start at 04:15.
1st and 10 at OU27,"Hurts, Jalen sacked for loss of 4 yards to the OU23 (Bernard,Terrel;Williams,Jordan)."
2nd and 14 at OU23,"Brooks, Kennedy rush for 32 yards to the BU45, 1ST DOWN OU (Arnold,Grayland)."
1st and 10 at BU45,"Hurts, Jalen rush for 11 yards to the BU34, 1ST DOWN OU."
1st and 10 at BU34,"Hurts, Jalen pass incomplete to Wease, Theo (Texada,Raleigh)."
2nd and 10 at BU34,"Hurts, Jalen pass complete to Morris, Lee for 13 yards to the BU21, 1ST DOWN OU (Arnold,Grayland;Miller,Chris)."
1st and 10 at BU21,"Team pass incomplete to Rambo, C.."
2nd and 10 at BU21,"Brooks, Kennedy rush for 4 yards to the BU17 (Bernard,Terrel;Williams,Jordan)."
3rd and 6 at BU17,"Timeout Baylor, clock 01:56."
3rd and 6 at BU17,"Hurts, Jalen pass complete to Rambo, C. for 3 yards to the BU14 (Miller,Chris)."
4th and 3 at BU14,"Timeout Baylor, clock 01:49."
4th and 3 at BU14,"Timeout Oklahoma, clock 01:49."
4th and 3 at BU14,"Brkic, Gabe field goal attempt from 31 GOOD, clock 01:45."
1st and GOAL at OU35,"Brkic, Gabe kickoff 65 yards to the BU0, touchback."
Total,"9 plays , 59 yards Time of Possession: 2:30"
Baylor at 01:45
1st and 10 at BU25,BAYLOR drive start at 01:45.
1st and 10 at BU25,"Brewer,Charlie pass complete to Mims,Denzel for 8 yards to the BU33 (Motley, Parnell)."
2nd and 2 at BU33,"Brewer,Charlie sacked for loss of 3 yards to the BU30 (Perkins, Ronnie)."
3rd and 5 at BU30,"Brewer,Charlie pass complete to Sneed,R.J. for 9 yards to the BU39, 1ST DOWN BU, out-of-bounds."
1st and 10 at BU39,"Brewer,Charlie pass complete to Mims,Denzel for 21 yards to the OU40, 1ST DOWN BU (Murray, Kenneth)."
1st and 10 at OU40,"Brewer,Charlie pass incomplete to Sneed,R.J. (Bonitto, Nik)."
2nd and 10 at OU40,"Brewer,Charlie pass intercepted by Bonitto, Nik at the OU38, Bonitto, Nik return 0 yards to the OU38."
Total,"6 plays , 35 yards Time of Possession: 1:16"
Oklahoma at 00:29
1st and 10 at OU38,OKLAHOMA drive start at 00:29.
1st and 10 at OU38,Team rush for loss of 2 yards to the OU36.
2nd and 12 at OU36,"End of game, clock 00:00."
Total,"1 plays , -2 yards Time of Possession: 0:29"
